          precision    recall  f1-score   support
                 nabi, rasul, dan nama manusia laki-laki pertama yang diciptakan oleh Tuhan       1.00      1.00      1.00         1
                                naik banding kepada pengadilan yang lebih tinggi; permohonan pemeriksaan ulang pada pengadilan tingkat kedua (pengadilan tinggi) terhadap keputusan pengadilan tingkat pertama (pengadilan negeri)       0.17      1.00      0.29         1
                      nama (bagi Tuhan)       1.00      1.00      1.00         1
             nama yang dipakai untuk beberapa jenis tumbuhan yang tidak berkerabat satu sama lain, seperti -- bangkai, -- ketongkeng, -- manila       0.00      0.00      0.00         0
                                paham benar-benar (tentang ilmu pengetahuan dan sebagainya)       1.00      1.00      1.00         1
                            panas dan cahaya yang berasal dari sesuatu yang terbakar; nyala       0.50      1.00      0.67         1
 pekarangan rumah (sekolah dan sebagainya); tanah di sekitar rumah (sekolah dan sebagainya)       0.83      1.00      0.91         5
                           pemimpin; ketua (kantor, pekerjaan, perkumpulan, dan sebagainya)       0.00      0.00      0.00         1
 pendapatan atas setiap investasi modal       0.00      0.00      0.00         1
                                         penggabungan (tentang salat wajib); antara salat Zuhur dan salat Asar atau salat Magrib dan salat Isya       1.00      1.00      1.00         1
                                        penuh minat dan perhatian; (dengan) saksama; teliti       1.00      1.00      1.00         1
                penyakit bengkak pada leher depan karena kelenjar yang menjadi besar; beguk       1.00      1.00      1.00         2
                             perasaan yang menggelora (tentang cinta, perjuangan); semangat       0.00      0.00      0.00         1
                                                   perawatan dengan menginap di rumah sakit       1.00      1.00      1.00         1
       perdu, tinggi 2 m, batangnya mudah patah, daunnya besar berwarna hijau kebiru-biruan, buahnya berbiji polong, bijinya sebesar kacang tanah, ketika tua berwarna hitam, dapat digunakan sebagai bahan minyak pelumas; dulang       0.00      0.00      0.00         0
                                  perkakas pertanian yang terbuat dari kayu atau besi untuk menggemburkan dan membalikkan tanah; luku; tenggala       1.00      1.00      1.00         1
                                                   permukaan (yang) rata dan tentu batasnya       0.00      0.00      0.00         0
               pernyataan hormat; tabik       0.00      0.00      0.00         1
                           pertemuan (kumpulan) untuk membicarakan sesuatu; sidang; majelis       1.00      0.33      0.50         3
        pesta perkawinan dan sebagainya       1.00      1.00      1.00         1
                                        planet atau gugusan planet yang menjadi pegangan dalam astrologi untuk menentukan nasib seseorang; rasi       0.00      0.00      0.00         0
